date,company,press_release_text,release_type,tone,label
2024-10-30,ICICI Bank,ICICI Bank reports strategic partnership to enhance growth.,Regulatory,Bullish,0
2024-08-09,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Expansion,Neutral,0
2025-04-30,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Partnership,Neutral,0
2024-12-13,Reliance,Reliance reports strategic partnership to enhance growth.,Regulatory,Bearish,0
2024-07-05,Reliance,Reliance discloses regulatory filing as per SEBI guidelines.,Expansion,Bullish,0
2024-08-30,Wipro,Wipro reports strategic partnership to enhance growth.,Regulatory,Bearish,0
2024-01-22,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Expansion,Neutral,0
2024-07-08,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Partnership,Bullish,0
2024-12-08,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Partnership,Bullish,0
2024-12-27,Tata Motors,Tata Motors promises record profits beyond industry norms.,Regulatory,Bullish,1
2024-08-08,HDFC Bank,HDFC Bank promises record profits beyond industry norms.,Other,Bullish,1
2024-01-16,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Expansion,Bearish,0
2024-08-05,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Earnings,Neutral,0
2024-09-01,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Regulatory,Neutral,0
2025-04-23,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Expansion,Neutral,0
2024-12-02,Infosys,Infosys reports strategic partnership to enhance growth.,Earnings,Neutral,0
2023-09-21,Reliance,Reliance announces quarterly earnings in line with expectations.,Other,Bullish,0
2024-03-21,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Partnership,Bearish,0
2023-10-28,Wipro,Wipro announces quarterly earnings in line with expectations.,Other,Neutral,0
2025-04-19,Reliance,Reliance reports strategic partnership to enhance growth.,Expansion,Bearish,0
2024-07-11,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Earnings,Bullish,0
2025-09-08,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Earnings,Neutral,0
2024-02-17,Infosys,Infosys reports strategic partnership to enhance growth.,Earnings,Neutral,0
2024-08-15,Infosys,Infosys announces quarterly earnings in line with expectations.,Expansion,Bullish,0
2025-04-10,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Other,Bullish,0
2024-04-05,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Regulatory,Neutral,0
2024-09-26,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Other,Bearish,0
2025-06-27,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Earnings,Bullish,0
2024-03-08,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Other,Bullish,0
2024-01-09,Reliance,Reliance reports strategic partnership to enhance growth.,Earnings,Neutral,0
2024-10-01,Tata Motors,"Unstoppable growth ahead, Tata Motors is set to skyrocket with no risk!",Regulatory,Bullish,1
2024-06-27,ICICI Bank,ICICI Bank reports strategic partnership to enhance growth.,Earnings,Bearish,0
2024-04-13,Wipro,Wipro announces quarterly earnings in line with expectations.,Other,Neutral,0
